ibliID, %0, %1, %2, avgSOS_2L, avgEOS_2L, avgSOS_2S, avgEOS_2S, sdS_SOS_2L, sdS_EOS_2L, sdS_SOS_2S, sdS_EOS_2S, sdT_SOS_2L, sdT_EOS_2L, sdT_SOS_2S, sdT_EOS_2S, avgSOS_1, avgEOS_1, sdS_SOS_1, sdS_EOS_1, sdT_SOS_1, sdT_EOS_1
97,0.000000,0.000000,100.000,105.991,174.978,293.644,13.0157,3.99225,8.62301,6.18415,6.80575,18.6454,23.8592,22.1626,25.6699,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000
98,0.000000,0.000000,100.000,107.237,169.981,302.015,13.5462,3.46791,10.1335,5.98972,9.63145,15.6030,19.6426,22.6652,22.5946,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000
99,0.000000,0.000000,100.000,108.108,172.720,306.995,15.6185,3.47309,8.81120,4.94384,7.90366,13.4694,23.2512,18.5342,20.9887,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000
100,0.000000,0.000000,100.000,107.985,167.888,303.315,16.3088,4.47366,7.56749,10.8145,8.75718,15.4587,20.6397,34.1824,30.2326,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000
101,0.0146242,0.102369,99.8830,108.223,168.627,305.135,15.0885,5.28504,10.5875,11.9950,9.89994,15.6935,24.7849,33.1046,30.5538,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000
102,0.000000,0.000000,100.000,106.616,169.199,296.639,10.0862,3.57876,6.61351,6.27648,5.77888,19.3246,20.5892,24.0353,26.2373,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000
103,0.000000,0.000000,100.000,106.682,166.120,298.556,10.3013,3.95333,6.87869,7.83536,7.84940,16.6148,18.7465,29.5134,26.8852,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000
104,0.000000,0.0449640,99.9550,101.110,164.567,303.200,16.8630,4.53826,8.24166,7.94133,8.34437,13.7522,22.9072,24.9038,22.8967,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000
105,0.000000,0.000000,100.000,108.213,165.719,298.849,12.0564,3.70221,7.09596,6.47173,6.98198,16.2727,18.6952,26.4325,26.4042,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000
107,0.000000,0.000000,100.000,103.863,171.066,305.570,17.0748,4.42906,7.36402,6.75862,6.87616,13.9133,20.3267,19.2078,20.0961,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000
108,0.522388,0.000000,99.4776,107.425,161.018,308.092,8.53419,6.46950,9.19934,10.8464,8.44153,16.8918,24.1207,33.2952,25.9572,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000
111,13.5638,2.32713,84.1090,105.082,179.793,313.825,27.9675,5.75853,26.8313,7.83353,23.3855,18.4426,22.7989,22.9434,24.0306,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000
112,11.6057,0.000000,88.3943,108.595,172.464,316.514,26.9949,6.46622,9.10584,6.76295,12.4374,19.5356,24.0358,21.0122,23.5259,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000
113,8.65114,0.562493,90.7864,103.430,162.005,317.785,16.4163,6.93807,9.71638,9.48364,9.54121,17.9237,21.5773,26.7676,24.4295,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000
114,72.1900,0.347625,27.4623,113.234,177.849,322.084,22.2782,7.62043,13.1301,15.2088,15.9526,26.1616,30.1303,41.0105,36.2545,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000
115,5.61167,1.01010,93.3782,99.5064,178.055,313.655,26.8368,9.19901,18.7693,12.6849,15.7802,29.6459,31.6745,33.5817,29.1809,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000
116,29.0090,0.765814,70.2252,97.7890,168.372,319.483,20.0931,9.30028,10.6876,10.3189,11.3347,28.0823,27.6435,26.2411,25.9304,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000
117,34.1256,0.339559,65.5348,108.672,162.199,323.284,16.7474,6.84885,11.0349,12.3400,12.2833,22.6857,25.4898,33.9677,28.2592,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000
118,7.87294,0.373168,91.7539,106.345,157.560,318.054,16.1068,5.22209,9.32317,9.79390,10.8263,16.0763,20.0608,28.1181,24.7699,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000
119,6.52411,0.100091,93.3758,103.142,166.130,319.353,17.9361,9.10202,11.9020,13.5480,9.95429,24.0018,28.4052,31.4458,28.6996,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000
120,68.6387,0.0768344,31.2844,109.353,169.187,325.523,18.4172,6.81385,11.6200,9.97401,9.36249,24.0600,25.8303,33.1468,26.5347,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000,-99.0000
