WaveLenght (nm)	Skylarr
358.53	0.573327032
358.54	0.573307986
358.55	0.573285347
358.56	0.573264607
358.57	0.573239611
358.58	0.5732124
358.59	0.573183618
358.6	0.573152635
358.61	0.573118721
358.62	0.573080886
358.63	0.573041067
358.64	0.572997871
358.65	0.572955646
358.66	0.572915227
358.67	0.572882043
358.68	0.57285277
358.69	0.572830723
358.7	0.572810411
358.71	0.572794989
358.72	0.572779658
358.73	0.572767181
358.74	0.572753439
358.75	0.572738795
358.76	0.572721727
358.77	0.572700383
358.78	0.572676108
358.79	0.572646591
358.8	0.572613082
358.81	0.572574098
358.82	0.572530943
358.83	0.572489278
358.84	0.572448996
358.85	0.572417855
358.86	0.57239103
358.87	0.572369393
358.88	0.572348283
358.89	0.572329588
358.9	0.572309481
358.91	0.572290583
358.92	0.572271578
358.93	0.572251085
358.94	0.57223009
358.95	0.572208088
358.96	0.572184709
358.97	0.572160745
358.98	0.57213674
358.99	0.572111376
359	0.572084986
359.01	0.572056639
359.02	0.572028367
359.03	0.572000393
359.04	0.571972445
359.05	0.571944807
359.06	0.571917367
359.07	0.571888832
359.08	0.571859717
359.09	0.571828517
359.1	0.571798638
359.11	0.571766917
359.12	0.571736543
359.13	0.571707824
359.14	0.571680557
359.15	0.571657545
359.16	0.571635109
359.17	0.571614009
359.18	0.571590637
359.19	0.571567683
359.2	0.571543018
359.21	0.57151881
359.22	0.571492787
359.23	0.571466299
359.24	0.571438008
359.25	0.571410175
359.26	0.571382574
359.27	0.571356326
359.28	0.571331349
359.29	0.571307065
359.3	0.571284008
359.31	0.571261282
359.32	0.571238818
359.33	0.571217673
359.34	0.571195516
359.35	0.571172607
359.36	0.571149573
359.37	0.571126583
359.38	0.57110312
359.39	0.5710782
359.4	0.571052018
359.41	0.57102292
359.42	0.570991766
359.43	0.570958674
359.44	0.57092203
359.45	0.570886379
359.46	0.570851065
359.47	0.570820172
359.48	0.57079204
359.49	0.570766546
359.5	0.570743588
359.51	0.570722082
359.52	0.570703045
359.53	0.570683722
359.54	0.570665224
359.55	0.570645041
359.56	0.570622672
359.57	0.570596212
359.58	0.570568996
359.59	0.57053956
359.6	0.570509979
359.61	0.570481744
359.62	0.570455104
359.63	0.570428573
359.64	0.570403988
359.65	0.570379398
359.66	0.570356419
359.67	0.570333522
359.68	0.570307889
359.69	0.570280648
359.7	0.570250668
359.71	0.570221166
359.72	0.570190163
359.73	0.570160901
359.74	0.570130393
359.75	0.570100294
359.76	0.570072082
359.77	0.570045788
359.78	0.57002245
359.79	0.570000874
359.8	0.56997976
359.81	0.569957301
359.82	0.569934377
359.83	0.569910124
359.84	0.569884277
359.85	0.569857828
359.86	0.569830719
359.87	0.569801519
359.88	0.569773711
359.89	0.569747369
359.9	0.569721592
359.91	0.569695646
359.92	0.569670254
359.93	0.569645153
359.94	0.569620316
359.95	0.569596682
359.96	0.569574089
359.97	0.569550718
359.98	0.569526633
359.99	0.569501135
360	0.569472976
360.01	0.569445341
360.02	0.569415045
360.03	0.569385722
360.04	0.569357604
360.05	0.569330003
360.06	0.56930385
360.07	0.569279907
360.08	0.569256827
360.09	0.569234851
360.1	0.569212591
360.11	0.569189739
360.12	0.569167371
360.13	0.569143285
360.14	0.569119962
360.15	0.569094636
360.16	0.569068292
360.17	0.569039766
360.18	0.569010413
360.19	0.568980917
360.2	0.568953023
360.21	0.568927397
360.22	0.568902807
360.23	0.5688804
360.24	0.568859404
360.25	0.568839218
360.26	0.568819365
360.27	0.568798783
360.28	0.568777481
360.29	0.568754622
360.3	0.568728822
360.31	0.568701273
360.32	0.568673349
360.33	0.568642255
360.34	0.568609593
360.35	0.568575818
360.36	0.568542641
360.37	0.568512927
360.38	0.568484617
360.39	0.568459975
360.4	0.56843563
360.41	0.56841007
360.42	0.568382049
360.43	0.568353101
360.44	0.568325975
360.45	0.56829809
360.46	0.568270111
360.47	0.568242814
360.48	0.568216554
360.49	0.568191663
360.5	0.568169703
360.51	0.56814824
360.52	0.568128419
360.53	0.568108717
360.54	0.568089973
360.55	0.568070981
360.56	0.568054014
360.57	0.568033669
360.58	0.568009861
360.59	0.567979818
360.6	0.567943512
360.61	0.567904891
360.62	0.567866733
360.63	0.567827397
360.64	0.56779067
360.65	0.567757849
360.66	0.56773131
360.67	0.567709577
360.68	0.567691058
360.69	0.567674517
360.7	0.567658589
360.71	0.567640932
360.72	0.567622678
360.73	0.567601426
360.74	0.567575049
360.75	0.567545477
360.76	0.567513525
360.77	0.567479619
360.78	0.567444401
