  Wl(nm)  HCRF  Rso  Rdo  Rsd  Rdd  ABSs  ABSd
       551       0.06598366       0.06377229       0.07135543       0.09375922       0.09514499       0.81796348       0.72860682
       552       0.06645626       0.06424853       0.07184011       0.09446252       0.09581676       0.81714725       0.72791084
       553       0.06685952       0.06465607       0.07225541       0.09506940       0.09639655       0.81643859       0.72730431
       554       0.06715866       0.06495699       0.07257226       0.09551233       0.09682734       0.81594841       0.72690693
       555       0.06733703       0.06513727       0.07276980       0.09578163       0.09709464       0.81566346       0.72668842
       556       0.06736056       0.06516005       0.07281995       0.09581129       0.09714283       0.81569276       0.72676674
       557       0.06730532       0.06510241       0.07279351       0.09572382       0.09708293       0.81586774       0.72697849
       558       0.06707949       0.06487436       0.07259907       0.09538494       0.09678690       0.81634772       0.72746079
       559       0.06673696       0.06452686       0.07229375       0.09486294       0.09632405       0.81707004       0.72817436
       560       0.06630904       0.06409426       0.07190316       0.09422001       0.09574643       0.81793041       0.72900560
       561       0.06578537       0.06356485       0.07141931       0.09343116       0.09503329       0.81897414       0.73000517
       562       0.06518762       0.06296150       0.07086009       0.09253423       0.09421665       0.82014172       0.73110947
       563       0.06452436       0.06229269       0.07023768       0.09153771       0.09330734       0.82143411       0.73232849
       564       0.06380044       0.06156272       0.06955620       0.09044770       0.09231091       0.82284340       0.73365505
       565       0.06302572       0.06078056       0.06882828       0.08927344       0.09123889       0.82436949       0.73509822
       566       0.06218893       0.05993790       0.06803373       0.08801337       0.09008073       0.82597877       0.73660010
       567       0.06131038       0.05905272       0.06720197       0.08668278       0.08885955       0.82768713       0.73820253
       568       0.06038592       0.05812565       0.06632949       0.08528595       0.08757625       0.82947717       0.73988058
       569       0.05942033       0.05716166       0.06542107       0.08383000       0.08623738       0.83133978       0.74162597
       570       0.05846554       0.05619698       0.06451161       0.08236970       0.08489381       0.83320615       0.74337558
       571       0.05748230       0.05519833       0.06356420       0.08085449       0.08349500       0.83512947       0.74516935
       572       0.05652411       0.05423789       0.06265728       0.07939029       0.08214598       0.83699875       0.74692339
       573       0.05560360       0.05330982       0.06178123       0.07797221       0.08083928       0.83880869       0.74862364
       574       0.05471324       0.05241263       0.06093460       0.07659818       0.07957300       0.84056207       0.75027259
       575       0.05387776       0.05157112       0.06014068       0.07530343       0.07837958       0.84221645       0.75183133
       576       0.05307543       0.05076033       0.05938009       0.07404940       0.07722655       0.84383009       0.75336245
       577       0.05234608       0.05002463       0.05869178       0.07290882       0.07617889       0.84530114       0.75476285
       578       0.05166215       0.04933448       0.05804725       0.07183650       0.07519452       0.84668614       0.75608452
       579       0.05102067       0.04868712       0.05744314       0.07082527       0.07426635       0.84799549       0.75733717
       580       0.05041833       0.04808003       0.05687777       0.06987479       0.07339457       0.84922845       0.75851984
       581       0.04985350       0.04751086       0.05634889       0.06898170       0.07257611       0.85038932       0.75963643
       582       0.04932322       0.04697767       0.05585397       0.06814003       0.07180497       0.85148691       0.76069522
       583       0.04882632       0.04647838       0.05539170       0.06735000       0.07108187       0.85251977       0.76169461
       584       0.04836114       0.04601120       0.05496040       0.06660903       0.07040444       0.85349119       0.76263760
       585       0.04794612       0.04559501       0.05457840       0.06594697       0.06980065       0.85436428       0.76349005
       586       0.04753764       0.04518690       0.05420409       0.06529668       0.06920769       0.85522236       0.76432889
       587       0.04715185       0.04480683       0.05385618       0.06468646       0.06865163       0.85603160       0.76512305
       588       0.04679573       0.04447223       0.05355297       0.06415025       0.06816519       0.85674762       0.76583104
       589       0.04644223       0.04416274       0.05327337       0.06364987       0.06771175       0.85742019       0.76649925
       590       0.04615463       0.04387697       0.05301673       0.06318640       0.06729280       0.85804680       0.76712513
       591       0.04593492       0.04363269       0.05280031       0.06278804       0.06693478       0.85859261       0.76767641
       592       0.04568058       0.04339154       0.05258689       0.06239429       0.06658101       0.85913254       0.76822237
       593       0.04550423       0.04318995       0.05241184       0.06206281       0.06628555       0.85959529       0.76869703
       594       0.04531483       0.04300863       0.05225647       0.06176321       0.06601994       0.86001849       0.76913519
       595       0.04515216       0.04286498       0.05213768       0.06152311       0.06581010       0.86036802       0.76950523
       596       0.04502718       0.04270474       0.05200272       0.06125656       0.06557540       0.86075016       0.76990551
       597       0.04488372       0.04256361       0.05188632       0.06102018       0.06536897       0.86109492       0.77027127
       598       0.04475940       0.04242753       0.05177871       0.06078795       0.06516930       0.86144545       0.77065182
       599       0.04461015       0.04227127       0.05164753       0.06052727       0.06494000       0.86182006       0.77104534
       600       0.04446380       0.04211708       0.05151766       0.06026662       0.06471025       0.86219564       0.77144004
       601       0.04428377       0.04192961       0.05135602       0.05995595       0.06443395       0.86263176       0.77189067
       602       0.04408419       0.04172735       0.05117993       0.05962149       0.06413524       0.86309711       0.77236849
       603       0.04385976       0.04149871       0.05098133       0.05923790       0.06379280       0.86363498       0.77292323
       604       0.04358157       0.04121935       0.05073002       0.05877985       0.06337787       0.86425246       0.77354228
       605       0.04329662       0.04093287       0.05047491       0.05830309       0.06294771       0.86490479       0.77420343
       606       0.04296923       0.04060369       0.05017807       0.05775747       0.06245272       0.86564171       0.77494321
       607       0.04259704       0.04023048       0.04983428       0.05714430       0.06189119       0.86645064       0.77574058
       608       0.04220739       0.03983883       0.04947622       0.05649684       0.06130010       0.86731231       0.77659659
       609       0.04179812       0.03942756       0.04909819       0.05581372       0.06067483       0.86821849       0.77749441
       610       0.04138487       0.03901213       0.04871588       0.05512267       0.06004187       0.86913394       0.77840116
