wl(nm),dif/tot veg smoothed
1510,0.058682572
1511,0.058697306
1512,0.05876601
1513,0.058783467
1514,0.059178767
1515,0.059688141
1516,0.060327328
1517,0.060737798
1518,0.060765414
1519,0.060790372
1520,0.060750572
1521,0.061221676
1522,0.061328379
1523,0.061567765
1524,0.06148573
1525,0.061747335
1526,0.061963714
1527,0.062104823
1528,0.062036979
1529,0.062101511
1530,0.061995313
1531,0.062225137
1532,0.062320725
1533,0.062241825
1534,0.062237437
1535,0.062154048
1536,0.062109811
1537,0.062100275
1538,0.062101557
1539,0.062036573
1540,0.062045101
1541,0.062047279
1542,0.061996365
1543,0.061909108
1544,0.061878325
1545,0.061852698
1546,0.061902342
1547,0.061969313
1548,0.061986934
1549,0.061956833
1550,0.061908265
1551,0.061880325
1552,0.061832158
1553,0.061801576
1554,0.061765665
1555,0.061760143
1556,0.061762117
1557,0.061677141
1558,0.061653703
1559,0.061578803
1560,0.061514345
1561,0.061404079
1562,0.061258581
1563,0.061149753
1564,0.061084409
1565,0.060970708
1566,0.060891983
1567,0.06078053
1568,0.060653651
1569,0.060581951
1570,0.060411957
1571,0.060266834
1572,0.060147169
1573,0.060043934
1574,0.05991715
1575,0.059856579
1576,0.05979824
1577,0.059746641
1578,0.059708721
1579,0.059667091
1580,0.059638012
1581,0.059617894
1582,0.059620482
1583,0.059667519
1584,0.059692944
1585,0.059723552
1586,0.059727232
1587,0.059685708
1588,0.059671689
1589,0.05967817
1590,0.059618657
1591,0.059626327
1592,0.059585819
1593,0.059548214
1594,0.059506597
1595,0.059483232
1596,0.059441166
1597,0.059399112
1598,0.059277476
1599,0.05921542
1600,0.059052398
1601,0.058900618
1602,0.058786362
1603,0.058691397
1604,0.058614541
1605,0.058549072
1606,0.058489112
1607,0.058434594
1608,0.058376159
1609,0.058329456
1610,0.058259728
1611,0.058227248
1612,0.058223141
1613,0.058247273
1614,0.058247698
1615,0.058224308
1616,0.058207007
1617,0.058160211
1618,0.058111587
1619,0.058106685
1620,0.058070734
1621,0.058126568
1622,0.058161748
1623,0.058166136
1624,0.058120852
1625,0.058076494
1626,0.058008395
1627,0.057950082
1628,0.057896432
1629,0.057845765
1630,0.057786721
1631,0.057750253
1632,0.057688863
1633,0.057624884
1634,0.057499507
1635,0.057435669
1636,0.057377902
1637,0.057299407
1638,0.057243504
1639,0.057160852
1640,0.05709312
1641,0.057032984
1642,0.0568567
1643,0.056711166
1644,0.056652839
1645,0.056619631
1646,0.056530584
1647,0.056452287
1648,0.056366885
1649,0.056285819
1650,0.056231578
1651,0.056160307
1652,0.056105107
1653,0.055999852
1654,0.055939375
1655,0.055942179
1656,0.055881875
1657,0.055700774
1658,0.05562375
1659,0.055553982
1660,0.055455388
1661,0.055408888
1662,0.055339076
1663,0.055394055
1664,0.05541431
1665,0.055321191
1666,0.055230969
1667,0.055185233
1668,0.055150218
1669,0.055105972
1670,0.055061602
1671,0.054959558
1672,0.054907863
1673,0.054838131
1674,0.054812275
1675,0.054580519
1676,0.054513752
1677,0.054431076
1678,0.054439812
1679,0.054401579
1680,0.054344853
1681,0.054331019
1682,0.054167476
1683,0.054098974
1684,0.054027555
1685,0.053868946
1686,0.053822441
1687,0.053778024
1688,0.053501121
1689,0.05343418
1690,0.053373558
1691,0.053300786
1692,0.052942226
1693,0.052870616
1694,0.052792308
1695,0.052729724
1696,0.052822339
1697,0.052690576
1698,0.052572774
1699,0.052551513
1700,0.052366555
1701,0.052297438
